,DrugBankIDLabel,UniProtIDLabel,Interaction,Predicted interaction
0,592,1298,1,0.7017557979345487
1,6638,3560,1,0.700387909366258
2,6638,4524,1,0.5915720186893832
3,6638,3282,1,0.6599302841246568
4,6638,2351,1,0.5988767774566941
5,6638,2486,1,0.6304485464108545
6,6638,2211,1,0.6158740104569753
7,6638,2449,1,0.6203226378121119
8,6638,2192,1,0.5802316955731905
9,6638,431,1,0.610358414729435
10,6638,113,1,0.5705209874940026
11,6638,1276,1,0.6362573387410845
12,6638,265,1,0.5943708090232926
13,1145,2730,1,0.4861991892672538
14,1145,3574,1,0.4407859642198657
15,1145,2002,1,0.4618422848381934
16,2514,970,1,0.6565062310732925
17,2514,930,1,0.4764261089322257
18,2514,431,1,0.5927024308738547
19,2514,2449,1,0.5942337095195287
20,2514,113,1,0.5569898545786268
21,2514,1276,1,0.6092747597053885
22,2514,265,1,0.5722939933863931
23,2514,3848,1,0.5087780260211706
24,2514,4524,1,0.5692516796126508
25,2514,2192,1,0.5647446261798357
26,2514,3282,1,0.6294751147086894
27,2514,2351,1,0.5778795038540718
28,2514,2486,1,0.602310844549458
29,2514,2211,1,0.6000737270894623
30,5677,1298,1,0.7272573124363028
31,6499,3110,1,0.5385566941562243
32,5146,1121,1,0.5080544262551725
33,5146,1694,1,0.49993942701518734
34,1627,257,1,0.48732184770765513
35,1627,1146,1,0.4961661075865841
36,1627,4184,1,0.4811889072622197
37,1627,3471,1,0.47257363419538223
38,3345,4659,1,0.43761110603014597
39,3424,1121,1,0.5101521399925395
40,3424,1694,1,0.5048505631783696
41,3238,3140,1,0.47737566215167027
42,3942,257,1,0.5675754009209965
43,3942,4184,1,0.5624458833262461
44,3942,784,1,0.7021763640551159
45,3942,1274,1,0.5136510899297886
46,3942,3471,1,0.5446810752847768
47,3942,292,1,0.5112219745465449
48,3942,3858,1,0.5173311839757535
49,3942,584,1,0.4943875983739754
50,3942,161,1,0.5144200321841071
51,3942,674,1,0.5284986381690056
52,1476,1130,1,0.49739098079171085
53,1476,3110,1,0.5222021606925813
54,6324,257,1,0.5315626963057288
55,6324,1146,1,0.5589582471975052
56,6324,4184,1,0.5356653445957239
57,6324,3471,1,0.5150723570228188
58,4588,3140,1,0.4666486202328963
59,2648,636,1,0.4470874518504517
60,5895,1121,1,0.5005719691263333
61,5895,1694,1,0.4913444128894922
62,4937,2210,1,0.46062433123102137
63,4937,2382,1,0.45097840260737804
64,6464,1968,1,0.4812791056752317
65,6464,475,1,0.44804395450214163
66,6464,151,1,0.444103782522714
67,6464,1158,1,0.4679800371653548
68,6464,1047,1,0.451253648802301
69,5122,1121,1,0.5172685737432453
70,5122,1694,1,0.5223200879679764
71,2303,2592,1,0.45045279760645973
72,1657,4097,1,0.7746202052719424
73,1657,3378,1,0.5666259200738262
74,1657,473,1,0.5666289907229642
75,1657,2341,1,0.47913555453314494
76,1657,1823,1,0.48575624456431776
77,1657,2837,1,0.5332058964006665
78,1657,1800,1,0.5733853062124141
79,1657,2580,1,0.5406323156318946
80,1657,1064,1,0.5119846428203678
81,1657,2068,1,0.49601075698612945
82,1657,266,1,0.5476672128776394
83,1741,370,1,0.4752973802645473
84,4745,431,1,0.5700604510506093
85,4745,3820,1,0.4720159064099355
86,4745,113,1,0.5394563299002558
87,4745,1276,1,0.5815056375660038
88,4745,265,1,0.5462998457121098
89,4745,2449,1,0.5767896418329692
90,4745,4524,1,0.5495794024201448
91,4745,2728,1,0.5192940262267264
92,4745,2897,1,0.48884868850963004
93,4745,3937,1,0.5192728070635597
94,4745,3310,1,0.5442091133508471
95,4808,257,1,0.5173352942843069
96,4808,1146,1,0.541548683587207
97,4808,4184,1,0.5156491165046713
98,4808,3471,1,0.5032279646939065
99,2468,2042,1,0.5304714530370511
100,2468,1456,1,0.5038766548911953
101,2468,2178,1,0.4640837480760376
102,6393,257,1,0.5688110691062014
103,6393,1146,1,0.6047010440588426
