DrugBankIDLabel,UniProtIDLabel,Interaction
593,1299,1
6639,3561,1
6639,4525,1
6639,3283,1
6639,2352,1
6639,2487,1
6639,2212,1
6639,2450,1
6639,2193,1
6639,432,1
6639,114,1
6639,1277,1
6639,266,1
1146,2731,1
1146,3575,1
1146,2003,1
2515,971,1
2515,931,1
2515,432,1
2515,2450,1
2515,114,1
2515,1277,1
2515,266,1
2515,3849,1
2515,4525,1
2515,2193,1
2515,3283,1
2515,2352,1
2515,2487,1
2515,2212,1
5678,1299,1
6500,3111,1
5147,1122,1
5147,1695,1
1628,258,1
1628,1147,1
1628,4185,1
1628,3472,1
3346,4660,1
3425,1122,1
3425,1695,1
3239,3141,1
3943,258,1
3943,4185,1
3943,785,1
3943,1275,1
3943,3472,1
3943,293,1
3943,3859,1
3943,585,1
3943,162,1
3943,675,1
1477,1131,1
1477,3111,1
6325,258,1
6325,1147,1
6325,4185,1
6325,3472,1
4589,3141,1
2649,637,1
5896,1122,1
5896,1695,1
4938,2211,1
4938,2383,1
6465,1969,1
6465,476,1
6465,152,1
6465,1159,1
6465,1048,1
5123,1122,1
5123,1695,1
2304,2593,1
1658,4098,1
1658,3379,1
1658,474,1
1658,2342,1
1658,1824,1
1658,2838,1
1658,1801,1
1658,2581,1
1658,1065,1
1658,2069,1
1658,267,1
1742,371,1
4746,432,1
4746,3821,1
4746,114,1
4746,1277,1
4746,266,1
4746,2450,1
4746,4525,1
4746,2729,1
4746,2898,1
4746,3938,1
4746,3311,1
4809,258,1
4809,1147,1
4809,4185,1
4809,3472,1
2469,2043,1
2469,1457,1
2469,2179,1
6394,258,1
6394,1147,1
6394,4185,1
6394,3472,1
6394,293,1
6394,303,1
6394,4680,1
6394,310,1
6394,1801,1
6394,2581,1
6394,2069,1
2287,1131,1
2287,843,1
2015,206,1
2015,1342,1
6898,1122,1
6898,1695,1
6937,1873,1
6937,3758,1
6937,1519,1
4191,4098,1
4191,3295,1
4191,2609,1
4191,891,1
4191,1493,1
4191,2408,1
3203,984,1
7322,551,1
7322,158,1
7322,1794,1
7322,3097,1
7322,221,1
7322,308,1
3152,1830,1
3152,1316,1
3152,1391,1
1830,3575,1
1830,2731,1
1830,2003,1
2760,912,1
2760,779,1
2760,3523,1
4798,749,1
4798,2425,1
6854,1131,1
1313,4476,1
6147,2043,1
6147,1457,1
7241,2043,1
7241,1457,1
1839,1862,1
1839,3551,1
1839,568,1
1839,3321,1
6424,1131,1
6424,3111,1
2196,971,1
189,769,1
189,2106,1
407,3239,1
407,796,1
407,4525,1
407,3283,1
407,2352,1
407,2487,1
407,2212,1
407,2450,1
407,2193,1
407,432,1
407,114,1
407,1277,1
407,266,1
407,259,1
6148,4193,1
6148,1418,1
6148,1299,1
6148,3472,1
6148,2609,1
6148,4438,1
6148,1290,1
6148,1962,1
6148,3857,1
6148,58,1
6148,3859,1
6148,362,1
7005,4295,1
7005,432,1
7005,4525,1
7005,2193,1
7005,3283,1
7005,2352,1
7005,2487,1
7005,2212,1
7005,2450,1
7005,114,1
7005,1277,1
7005,266,1
374,2211,1
3257,1695,1
3257,1122,1
2661,1039,1
5206,3239,1
896,971,1
2740,843,1
1750,1873,1
1750,3758,1
1750,1519,1
2291,1122,1
2291,1695,1
6828,1122,1
6828,1695,1
4474,1007,1
5343,2043,1
5343,1457,1
5343,4254,1
5343,2311,1
5343,2384,1
5343,2179,1
5343,2100,1
5343,4649,1
5343,740,1
5343,1665,1
5343,4021,1
5343,585,1
5343,2427,1
5343,256,1
338,3923,1
338,3561,1
338,3283,1
338,2352,1
338,2487,1
338,2212,1
338,2193,1
338,432,1
338,114,1
338,1277,1
338,266,1
338,4525,1
338,2450,1
3266,26,1
6885,2731,1
6885,3575,1
6885,432,1
6885,2450,1
6885,114,1
6885,1277,1
6885,266,1
6885,4525,1
6885,2193,1
6885,3283,1
6885,2352,1
6885,2487,1
6885,2212,1
1531,4242,1
1531,4683,1
1531,3862,1
1531,1144,1
1531,4525,1
1531,3283,1
1531,2352,1
1531,2487,1
1531,2212,1
1531,2450,1
1531,2193,1
1531,432,1
1531,114,1
1531,1277,1
1531,266,1
6752,26,1
6752,4525,1
6752,3283,1
6752,2352,1
6752,2487,1
6752,2212,1
6752,2450,1
6752,2193,1
6752,432,1
6752,114,1
6752,1277,1
6752,266,1
1914,26,1
1914,4525,1
1914,3283,1
1914,2352,1
1914,2487,1
1914,2212,1
1914,2450,1
1914,432,1
1914,114,1
1914,1277,1
1914,266,1
6114,769,1
3724,100,1
3724,2727,1
7339,258,1
7339,2792,1
4692,1135,1
4692,4525,1
4692,3283,1
4692,2352,1
4692,2487,1
4692,2212,1
4692,2450,1
4692,432,1
4692,114,1
4692,1277,1
4692,266,1
4374,1834,1
7288,2732,1
7288,405,1
7288,3532,1
7288,3228,1
2772,3465,1
2772,3283,1
2772,2352,1
2772,2487,1
2772,2212,1
2772,2450,1
2772,432,1
2772,114,1
2772,1277,1
2772,266,1
2772,4525,1
4391,3758,1
4194,843,1
2450,2019,1
2450,432,1
2450,4525,1
2450,3283,1
2450,2352,1
2450,2487,1
2450,2212,1
2450,2450,1
2450,114,1
2450,1277,1
2450,266,1
2736,1131,1
2736,843,1
535,43,1
535,4287,1
535,2019,1
535,3223,1
535,1277,1
535,989,1
535,3436,1
535,4546,1
535,3239,1
2554,2211,1
2554,2383,1
5422,4098,1
5422,3003,1
5422,3295,1
5422,4193,1
5422,1299,1
5422,2069,1
5422,2609,1
2427,1858,1
2427,40,1
2427,2682,1
3453,333,1
3453,3292,1
3453,687,1
1808,1122,1
1808,1695,1
2721,3111,1
2184,2096,1
2184,1210,1
5428,2107,1
5428,432,1
5428,4525,1
5428,1856,1
5428,3283,1
5428,2352,1
5428,2487,1
5428,2212,1
5428,2450,1
5428,114,1
5428,1277,1
5428,266,1
752,3397,1
843,1619,1
843,432,1
843,4525,1
843,3283,1
843,2352,1
843,2487,1
843,2212,1
843,2450,1
843,114,1
843,1277,1
843,266,1
4300,2731,1
4300,3575,1
4300,4525,1
4300,3283,1
4300,2352,1
4300,2487,1
4300,2212,1
4300,2450,1
4300,432,1
4300,114,1
4300,1277,1
4300,266,1
2167,299,1
2167,4525,1
2167,3283,1
2167,2352,1
2167,2487,1
2167,2212,1
2167,2450,1
2167,432,1
2167,114,1
2167,1277,1
2167,266,1
616,242,1
3990,1771,1
3990,2303,1
3990,8,1
3990,2506,1
3990,63,1
3990,1635,1
3990,3864,1
3990,4200,1
3990,696,1
3990,3411,1
3990,2454,1
3990,2722,1
3990,753,1
3990,1262,1
3990,4641,1
3990,1390,1
3990,4586,1
3990,2192,1
3990,3004,1
3990,952,1
3990,1196,1
3990,1609,1
3990,186,1
3990,1922,1
3990,3253,1
3990,2184,1
3990,4732,1
3990,2390,1
3990,216,1
3990,1102,1
3990,1552,1
3990,544,1
3990,2215,1
3990,434,1
3990,3835,1
3990,3124,1
3990,2883,1
3990,204,1
3990,1978,1
3990,3360,1
3990,1445,1
3990,1364,1
3990,707,1
3990,4697,1
3990,3576,1
3990,4421,1
3990,4118,1
3990,589,1
3990,4744,1
3990,2782,1
3990,3219,1
3990,2070,1
3990,2015,1
3990,901,1
3990,1524,1
3990,2589,1
3990,3716,1
3990,1271,1
3990,4283,1
3990,1495,1
3990,2353,1
3990,1604,1
3990,1366,1
3990,640,1
3990,4420,1
3990,1089,1
2115,4235,1
2115,1804,1
2115,3174,1
2115,3371,1
2115,2415,1
2115,3733,1
2675,4379,1
2675,2663,1
2675,1524,1
2675,63,1
2675,3767,1
2675,4235,1
2675,3835,1
2675,493,1
2675,3792,1
2675,1445,1
2675,3733,1
2675,2442,1
1554,952,1
1554,3037,1
1554,1303,1
1554,2687,1
4786,4031,1
4786,1714,1
4786,8,1
4786,841,1
4786,3110,1
4786,810,1
4786,4643,1
4786,2628,1
4791,2864,1
4791,3054,1
4791,4393,1
4791,1771,1
4791,1634,1
4791,2764,1
4791,2075,1
4791,2454,1
4791,4024,1
4791,3481,1
4791,2921,1
4791,2340,1
4791,2736,1
4791,2713,1
4427,3432,1
4427,373,1
4427,4183,1
4427,1359,1
4427,1262,1
4427,1874,1
4427,1929,1
3078,880,1
3078,2173,1
3078,2375,1
3078,3418,1
3078,506,1
3078,1919,1
3078,3152,1
3078,2713,1
3078,2931,1
3617,2101,1
3617,2647,1
3617,2582,1
3617,500,1
3617,2518,1
3617,2108,1
3617,483,1
3617,14,1
3088,2964,1
3088,4609,1
3088,2032,1
3088,1050,1
3088,559,1
5576,610,1
5576,2964,1
5576,4609,1
5576,1050,1
5576,4124,1
5576,1196,1
5576,3655,1
5576,2597,1
5576,4057,1
6202,1441,1
6202,4436,1
6202,1375,1
6202,3701,1
6202,107,1
6202,4601,1
6202,2342,1
6202,4226,1
6202,4210,1
6202,4371,1
6202,1327,1
6202,2327,1
6202,4505,1
6202,4409,1
6202,4749,1
6202,1317,1
6202,4109,1
6202,2158,1
6202,1402,1
6202,4447,1
6202,3594,1
6202,2270,1
6202,743,1
6202,538,1
6202,1531,1
3541,2220,1
3541,4509,1
3541,696,1
3541,1255,1
3541,3843,1
3541,3661,1
996,1608,1
996,3542,1
996,1093,1
996,3515,1
996,3124,1
996,4296,1
996,4356,1
996,3864,1
996,2597,1
996,1959,1
996,435,1
996,4111,1
996,3360,1
996,991,1
996,3068,1
996,1030,1
996,814,1
996,3306,1
996,3320,1
996,1240,1
996,582,1
996,3154,1
1664,2964,1
1664,4609,1
1664,4315,1
1664,1050,1
1664,844,1
1664,2826,1
1664,4000,1
1664,1309,1
1664,539,1
1664,4200,1
1664,559,1
1664,4057,1
1664,300,1
1664,1754,1
5637,1463,1
5637,436,1
5637,2175,1
2910,4586,1
2910,3809,1
2910,78,1
2910,4045,1
2910,4179,1
2910,105,1
2910,3641,1
2910,1043,1
2910,466,1
2910,4626,1
2910,1107,1
2910,2244,1
2910,2023,1
2910,525,1
2910,3147,1
693,2429,1
693,4053,1
693,3189,1
693,1019,1
693,4639,1
693,4213,1
693,184,1
693,2093,1
693,3020,1
693,758,1
4852,2884,1
4852,1609,1
4852,2390,1
4852,8,1
4852,1604,1
4852,1102,1
4852,2192,1
2307,4235,1
2307,3174,1
2307,3860,1
2307,2757,1
2307,79,1
6574,4526,1
6574,3533,1
6574,1359,1
6574,1262,1
3952,3886,1
3952,2930,1
6410,883,1
6410,1901,1
6410,4607,1
6410,1911,1
4544,1798,1
4544,1441,1
4544,4436,1
4544,1225,1
4544,2922,1
4544,994,1
4544,1078,1
4544,4356,1
4544,2391,1
4544,2891,1
4544,4210,1
4544,4371,1
4544,2327,1
4544,4749,1
4544,1317,1
4544,743,1
4544,1189,1
4544,2705,1
4544,449,1
4544,4090,1
4544,1387,1
4544,2129,1
4544,608,1
4544,1091,1
4544,4382,1
4544,3965,1
3249,4025,1
3249,2925,1
3249,3619,1
1812,2995,1
1812,4003,1
1812,3925,1
1812,575,1
1812,1663,1
1812,355,1
1812,160,1
1812,3047,1
478,2730,1
478,883,1
478,2105,1
478,17,1
478,188,1
478,2868,1
478,3542,1
478,2454,1
478,2145,1
478,3887,1
478,4066,1
478,2303,1
478,3124,1
478,3114,1
478,2609,1
478,1190,1
478,3195,1
478,544,1
478,3864,1
478,945,1
478,1834,1
478,2953,1
478,2184,1
478,2238,1
478,3132,1
478,1281,1
478,3253,1
478,1262,1
478,4577,1
478,2215,1
478,3411,1
478,2488,1
478,2399,1
478,3835,1
478,693,1
478,3562,1
478,3437,1
478,2349,1
478,3322,1
478,2977,1
478,3495,1
